Brent Crude Oil Spot Price
https://www.eia.gov/outlooks/steo/data/browser/#/?v=8&f=M&s=0&start=201001&end=202112&map=&maptype=0&ctype=linechart&linechart=BREPUUS
14:06:37 GMT-0300 (Horário Padrão de Brasília)
Source: U.S. Energy Information Administration
Month,Brent Crude Oil Spot Price dollars per barrel
Dec 2021,52.00
Nov 2021,52.00
Oct 2021,52.00
Sep 2021,51.00
Aug 2021,51.00
Jul 2021,50.50
Jun 2021,50.00
May 2021,49.00
Apr 2021,48.00
Mar 2021,47.00
Feb 2021,46.00
Jan 2021,45.00
Dec 2020,44.00
Nov 2020,43.50
Oct 2020,43.00
Sep 2020,43.00
Aug 2020,43.00
Jul 2020,43.24
Jun 2020,40.27
May 2020,29.38
Apr 2020,18.38
Mar 2020,32.01
Feb 2020,55.66
Jan 2020,63.65
Dec 2019,67.31
Nov 2019,63.21
Oct 2019,59.71
Sep 2019,62.83
Aug 2019,59.04
Jul 2019,63.92
Jun 2019,64.22
May 2019,71.32
Apr 2019,71.23
Mar 2019,66.14
Feb 2019,63.96
Jan 2019,59.41
Dec 2018,57.36
Nov 2018,64.75
Oct 2018,81.03
Sep 2018,78.89
Aug 2018,72.53
Jul 2018,74.25
Jun 2018,74.41
May 2018,76.97
Apr 2018,72.11
Mar 2018,66.02
Feb 2018,65.32
Jan 2018,69.08
Dec 2017,64.37
Nov 2017,62.71
Oct 2017,57.51
Sep 2017,56.15
Aug 2017,51.70
Jul 2017,48.48
Jun 2017,46.37
May 2017,50.33
Apr 2017,52.31
Mar 2017,51.59
Feb 2017,54.87
Jan 2017,54.58
Dec 2016,53.29
Nov 2016,44.73
Oct 2016,49.52
Sep 2016,46.57
Aug 2016,45.84
Jul 2016,44.95
Jun 2016,48.25
May 2016,46.74
Apr 2016,41.58
Mar 2016,38.21
Feb 2016,32.18
Jan 2016,30.70
Dec 2015,38.01
Nov 2015,44.27
Oct 2015,48.43
Sep 2015,47.62
Aug 2015,46.52
Jul 2015,56.56
Jun 2015,61.48
May 2015,64.08
Apr 2015,59.52
Mar 2015,55.88
Feb 2015,58.10
Jan 2015,47.76
Dec 2014,62.34
Nov 2014,79.44
Oct 2014,87.42
Sep 2014,97.09
Aug 2014,101.61
Jul 2014,106.77
Jun 2014,111.80
May 2014,109.54
Apr 2014,107.75
Mar 2014,107.48
Feb 2014,108.90
Jan 2014,108.12
Dec 2013,110.76
Nov 2013,107.79
Oct 2013,109.08
Sep 2013,111.60
Aug 2013,111.28
Jul 2013,107.93
Jun 2013,102.92
May 2013,102.56
Apr 2013,102.25
Mar 2013,108.47
Feb 2013,116.05
Jan 2013,112.96
Dec 2012,109.49
Nov 2012,109.06
Oct 2012,111.71
Sep 2012,112.86
Aug 2012,113.36
Jul 2012,102.62
Jun 2012,95.16
May 2012,110.34
Apr 2012,119.75
Mar 2012,125.44
Feb 2012,119.33
Jan 2012,110.69
Dec 2011,107.87
Nov 2011,110.77
Oct 2011,109.55
Sep 2011,112.83
Aug 2011,110.22
Jul 2011,116.97
Jun 2011,113.83
May 2011,114.99
Apr 2011,123.26
Mar 2011,114.64
Feb 2011,103.72
Jan 2011,96.52
Dec 2010,91.45
Nov 2010,85.28
Oct 2010,82.67
Sep 2010,77.84
Aug 2010,77.04
Jul 2010,75.58
Jun 2010,74.76
May 2010,75.95
Apr 2010,84.82
Mar 2010,78.83
Feb 2010,73.75
Jan 2010,76.17
Dec 2009,74.46
